Kanji,Reading,Level,English
あ,あ,4,ah / oh
ああ,ああ,4,ah / oh
あいさつ,あいさつ,4,greeting
間,あいだ,4,between / space / interval
合う,あう,4,to match / to fit
あかちゃん,あかちゃん,4,baby
上る,あがる,4,to go up / to rise
赤ん坊,あかんぼう,4,baby
空く,あく,4,to become empty / to be vacant
アクセサリー,アクセサリー,4,accessory
あげる,あげる,4,to give / to raise
浅い,あさい,4,shallow
味,あじ,4,taste / flavor
アジア,アジア,4,Asia
明日,あす,4,tomorrow
遊び,あそび,4,play / game
集る,あつまる,4,to gather (same as 集まる)
集める,あつめる,4,to collect
アナウンサー,アナウンサー,4,announcer
アフリカ,アフリカ,4,Africa
アメリカ,アメリカ,4,America
謝る,あやまる,4,to apologize
アルコール,アルコール,4,alcohol
アルバイト,アルバイト,4,part-time job
安心,あんしん,4,relief / peace of mind
安全,あんぜん,4,safety
あんな,あんな,4,that sort of
案内,あんない,4,guidance / to guide
以下,いか,4,below / less than
以外,いがい,4,except / outside of
医学,いがく,4,medical science
生きる,いきる,4,to live
意見,いけん,4,opinion
石,いし,4,stone
いじめる,いじめる,4,to tease / to bully
以上,いじょう,4,more than / above
急ぐ,いそぐ,4,to hurry
致す,いたす,4,to do (humble)
いただく,いただく,4,to receive / to eat/drink (humble)
一度,いちど,4,once / one time
一生懸命,いっしょうけんめい,4,with great effort
いっぱい,いっぱい,4,full / a lot
糸,いと,4,thread
以内,いない,4,within / less than
田舎,いなか,4,countryside
祈る,いのる,4,to pray
いらっしゃる,いらっしゃる,4,to come / to go / to be (honorific)
植える,うえる,4,to plant
うかがう,うかがう,4,to ask / to visit (humble)
受付,うけつけ,4,reception desk
受ける,うける,4,to receive / to take
動く,うごく,4,to move
うそ,うそ,4,lie / falsehood
うち,うち,4,inside / home
打つ,うつ,4,to hit / to strike
美しい,うつくしい,4,beautiful
写す,うつす,4,to copy / to photograph
移る,うつる,4,to move / to shift
腕,うで,4,arm / skill
うまい,うまい,4,skillful / delicious
裏,うら,4,back / reverse side
売り場,うりば,4,selling counter
うれしい,うれしい,4,happy / glad
うん,うん,4,yes / uh-huh
運転,うんてん,4,driving
運転手,うんてんしゅ,4,driver
運動,うんどう,4,exercise / sports
エスカレーター,エスカレーター,4,escalator
枝,えだ,4,branch
選ぶ,えらぶ,4,to choose
遠慮,えんりょ,4,reserve / restraint
おいでになる,おいでになる,4,to come / to go (honorific)
お祝い,おいわい,4,celebration / congratulation
オートバイ,オートバイ,4,motorcycle
おかげ,おかげ,4,thanks to
おかしい,おかしい,4,funny / strange
億,おく,4,hundred million
屋上,おくじょう,4,rooftop
贈り物,おくりもの,4,gift / present
送る,おくる,4,to send
遅れる,おくれる,4,to be late
起す,おこす,4,to raise / to cause
行う,おこなう,4,to do / to perform
怒る,おこる,4,to get angry
押し入れ,おしいれ,4,closet
お嬢さん,おじょうさん,4,daughter / young lady
お宅,おたく,4,your house / you
落る,おちる,4,to fall
おっしゃる,おっしゃる,4,to say (honorific)
夫,おっと,4,husband
おつり,おつり,4,change (money)
音,おと,4,sound
落す,おとす,4,to drop
踊り,おどり,4,dance
踊る,おどる,4,to dance
驚く,おどろく,4,to be surprised
お祭り,おまつり,4,festival
お見舞い,おみまい,4,visit to express sympathy
お土産,おみやげ,4,souvenir
思い出す,おもいだす,4,to recall
思う,おもう,4,to think
おもちゃ,おもちゃ,4,toy
表,おもて,4,surface / front
親,おや,4,parent
下りる,おりる,4,to descend / to get off
折る,おる,4,to break / to fold
お礼,おれい,4,thanks / expression of gratitude
折れる,おれる,4,to break / to yield
終わり,おわり,4,end
カーテン,カーテン,4,curtain
海岸,かいがん,4,coast / beach
会議,かいぎ,4,meeting / conference
会議室,かいぎしつ,4,conference room
会場,かいじょう,4,meeting place / venue
会話,かいわ,4,conversation
帰り,かえり,4,return / way back
変える,かえる,4,to change
科学,かがく,4,science
鏡,かがみ,4,mirror
掛ける,かける,4,to hang / to set (table)
飾る,かざる,4,to decorate
火事,かじ,4,fire (accidental)
ガス,ガス,4,gas
ガソリン,ガソリン,4,gasoline
ガソリンスタンド,ガソリンスタンド,4,gas station
堅,かたい,4,hard / solid (alternative spelling)
硬,かたい,4,hard
固い,かたい,4,hard / firm
形,かたち,4,shape / form
片付ける,かたづける,4,to tidy up
課長,かちょう,4,section manager
勝つ,かつ,4,to win
かっこう,かっこう,4,shape / appearance
家内,かない,4,wife (humble)
悲しい,かなしい,4,sad
必ず,かならず,4,without fail
金持ち,かねもち,4,rich person
彼女,かのじょ,4,she / girlfriend
壁,かべ,4,wall
かまう,かまう,4,to mind / to care about
髪,かみ,4,hair
